,da_name,lat_name,eng_name,group_name,class_name,order_name,family_name,text
0,Agersnerle,Hydrocharis morsus-ranae,Common Frogbit,Urter,Tokimbladet,Natskyggeordenen,Snerlefamilien,"Agersnerle er almindeligt udbredt i det meste af Danmark. Planren findes dog mere sjældent i Nord- og Vestjylland. Den vokser på tør og næringsrig jord i vejkanter og haver samt på marker, skrænter, strandbredder og strandvolde. Rødder og stængler Agersnerlen har op til 2 meter lange jordstængler og seje, dybgående rødder med rodskud. De overjordiske stængler er ligeledes seje og lange. Stænglerne kryber på jorden eller slynger sig op omkring andre planter. Blade og blomster Urtens blade er spydformede og kortstilkede, hvorimod blomsterne er langstilkede og sidder enkeltvis eller få sammen. Blomsterne er hvide eller blegrøde med tragtformede kroner. De åbner sig kun i solskin, og hver enkelt blomst er kun åben én dag."
1,Agertidsel,Cirsium arvense,Creeping thistle,Urter,Tokimbladet,Kurvblomstordenen,Kurvblomstfamilien,"Agertidsel er meget almindelig i hele landet. Urten vokser på næringsrig jordbund på enge, overdrev, langs veje, på agerjord, i haver, parker og på tang på strandvolde og strandbredder. Stængel og blade Agertidsel er en kraftig plante med oprette og glatte stængler. Bladene er grågrønne med glat overside og hvidfiltet underside. De er desuden beklædt med stikkende torne. Blomster og frugter Urtens blomster er samlet i små kurve, der sidder i en udbredt top. Kurvene er ægformede med små rødviolette blomster med rørformede kroneblade med flige og udragende støvfang. Blomsterne er enten hanlige eller hunlige. Agertidslens frugt er en lille nød med fjerformet fnok, der spreder sig med vinden."
2,Ahorn,Acer pseudoplatanus,Sycamore,Træer,Tokimbladet,Løvfældende,Ahornfamilien,"Ahorn er almindelig i de danske skove, og omkring 2% af det danske skovareal er tilplantet med ahorn. En stor del af ahorn-træerne er spredt til skovene fra parker, hvor de oprindelig blev plantede. Blade blomster og frugter Ahornens blade er delt i fem flige næsten som fingrene på en hånd. Bladene er savtakkede. De kan forveksles med spidsløn, som dog er mere spidse. Ahorn blomstrer sidst i maj kort tid efter at bladene er sprunget ud. Blomsterne danner lange gulgrønne klaser, som indeholder både han- og hunblomster. Frugterne er nødder, som sidder sammen to og to i en vinkel på omkring 90 grader. De roterer, når de spredes med vinden. Frugterne spirer næste forår."
3,Akselblomstret star,Carex remota,Remote sedge,Græsser og siv,Enkimbladet,Halvgræsordenen,Halvgræsfamilien,"Akselblomstret star er en flerårig urt, som ligner græs. Den vokser især i løvskove og moseskove. Den danner tuer. Akselblomstret star kan kendes ved, at blomsterstandens nederste aks sidder meget langt fra hinanden i bladhjørnerne. Den øvre del af stænglen er ofte zigzag-formet. Blade Bladene er ret slappe, lange og med hel rand og med tydeligt forsænket midterribbe. Frugter og blomster Blomsterstanden består af små grønne aks, som sidder spredt i bladhjørnerne. Frugterne er nødder."
4,Aks-tusindblad,Myriophyllum spicatum,Spiked water-milfoil,Urter,Tokimbladet,Tusindblad,Tusindblad,"Aks-tusindblad er en almindelig vandplante, der vokser på 1-6 meters dybde. Planten er udbredt i det meste af Danmark. Den findes i næringsrige søer, damme, grøfter, åer og vandløb. Aks-tusindblad kan desuden vokse i brakvand. Blade, blomster og frugter Aks-tusindblad er en vandplante med en lang rødlig stængel, som er under vand. Kun den ca. 10 cm lange blomstertand er over vandet. Blomsterstanden er et aks. Både blade og blomster sidder fire sammen i kranse omkring stænglen. Bladene er meget findelte, og blomsterne er små og rødlige. Frugten er en 4-delt spaltefrugt, som spredes gennem vandet og af fugle."
5,Almindelig bingelurt,Mercurialis perennis,Dog´s Mercury,Urter,Tokimbladet,Vortemælkordenen,Vortemælkfamilien,"Almindelig Bingelurt vokser i næringsrige løvskove, især i det østlige Danmark. Almindelig bingelurt foretrækker en fugtig og næringsrig muldbund. Der er både han- og hunplanter. Blade, frugter og blomster Bladene er samlet i den øverste del af skuddet. De er små og elipse-formede med savtakket kant. Bladene sidder over for hinanden to og to.Blomsterne, som ses tidligt om foråret, er små og gule eller grønlige. Hanplanterne har mange blomster sammen på en fælles stilk, mens hunblomster har hver sin stilk. Hunblomsterne sidder to og to sammen. Frugten er en rund kapsel med små fine hår. Frøene er lysegrå."
6,Almindelig blærerod,Utricularia vulgaris,Greater bladderwort,Urter,Tokimbladet,Læbeblomstordenen,Blærerodfamilien,"Almindelig blærerod er ret sjælden og findes kun spredt rundt i landet. Planten vokser i lavvandede søer, damme, tørvegrave og rolige vandløb. Den danner ofte tætte bestande. Stængel, blade og blomster Planten har lange stængler og meget findelte blade med ca. 3 mm lange fangstblærer og torne. Blomsterne er store og smørgule. De hænger i klaser over vandet på en brunlig, opret stængel, der er 10-30 cm. lang. Vækst Almindelig blærerod formerer sig både ved at frøene spredes og vegetativt v ed hjælp af særlige vinterknopper. Vinterknopperne dannes i spidsen af skuddene. Knopperne overvinter i vandet i dyndet, hvorimod resten af planten dør. Det følgende forår danner knopperne nye planter."
7,Almindelig engelsød,Polypodium vulgare,Polypody,Bregner,Karsporeplanter,Engelsødordenen,Engelsødfamilien,"Almindelig engelsød er en lavtvoksende bregne, som sjældent bliver over 40 cm høj. Planten har en jordstængel, som bladene vokser op fra enkeltvis eller flere sammen. Almindelig engelsød vokser især på fugtige steder og gerne i halvskygge. Planten kan også slå rod oppe i gamle træer. Almindelig engelsød er grøn om vinteren. Planten kan sprede sig ved hjælp af jordstængler og danne tætte bevoksninger på flere kvadratmerter. På bladenes underside findes to rækker af gullige sporehuse. Blade Bladene er mørkegrønne på oversiden og lysere grønne på undersiden. Bladene er tykke, og bladranden er uregelmæssigt takket."
8,Almindelig fredløs,Lysimachia vulgaris,Yellow loosestrife,Urter,Tokimbladet,Lyngordenen,Myrsinaceae,"Almindelig fredløs er almindelig udbredt i hele Danmark. Planten vokser på fugtig jordbund i skove, moser, grøfter og ved sø- og åbredder. Urten danner ofte tætte bestande i rørsumpen. Stængel og blade Almindelig fredløs har en opret, dunhåret stængel og spidse blade. Bladene er også dunhårede på undersiden. De sidder parvist modsatte eller 3-4 sammen i kranse. Blomster og frugter Urtens blomster sidder i en stor grenet top. Blomsterne er store og hjulformede med 5 gule kronblade. Frugterne er kapsler, der åbner sig med 5 klapper. Inden i kapslerne er der en masse frø, som spredes ved hjælp af vinden."
9,Almindelig fuglegræs,Stellaria media,Common chickweed,Urter,Tokimbladet,Nellikeordenen,Nellikefamilien,"Almindelig fuglegræs er meget almindelig og er udbredt overalt i Danmark. Urten vokser på tang på strandbredder og strandenge samt som ukrudt på fugtig jordbund i haver, vejkanter parker og på marker og dyrket jord. Stængel og blade Almindelig fuglegræs er en ret spinkel plante, der kan være både nedliggende og opstigende. Stænglerne er tynde og hårede med korsvis modsatte blade. De nedre blade er kortstilkede, mens de øvre blade ingen stilke har. Blomster og frugter Urtens blomster er små og stilkede med lange, grønne bægerblade og korte hvide, kronblade, der et dybt kløvede. Frugten er en kapsel, der åbner sig med 6 klapper. Frøene er brune og drysser ud af kapslen, hvorved de bliver spredt."
10,Almindelig guldstjerne,Gagea lutea,Yellow Star-of-Bethlehem,Urter,Enkimbladet,Liljeordenen,Liljefamilien,"Almindelig guldstjerne er almindelig i Danmark. Den ses dog sjældent i Nord- og Vestjylland. Planten vokser på næringsrig bund, i løvskove og parker. Blade og stængler Fra et underjordisk løg udgår et langt, rendeformet grundblad, hvis spids er hætteformet samt en enlig stængel. Frugter og blomster Almindelig guldstjerne bærer 2-7 stjerneformede blomster i en skærmlignende stand, hvorunder der for det meste sidder 2 støtteblade med hætteformet spids. Blomsten har 6 afrundede, frie blomsterblade, som udvendigt er grønlige og indvendigt gule. Griflen er grøn. Efter blomstring er blosteret blivende og grønligt. Frugten har form som en trekant og består af en 3-rummet kapsel, med mange, brune frø."
11,Almindelig hønsetarm,Cerastium fontanum,Common mouse-ear,Urter,Tokimbladet,Nellikeordenen,Nellikefamilien,"Almindelig hønsetarm er en meget almindelig og hyppig urt, der findes i hele Danmark langs veje, på enge, overdrev, marker, skrænter og i haver. Stængel og blade Urtens stængel er opret eller nedliggende og tæthåret. Bladene sidder parvist modsatte på stænglen. Planten formerer sig vegetativt ved, at løsrevne eller afbrækkede stængeldele vokser op og bliver til nye planter. Blomster og frugter Almindelig hønsetarms blomster er små med grønne bægerblade og hvide kronblade, der er kløvede i spidserne. Blomsterne er samlet i kvaste. Plantens frugt er en krum kapsel med mange frø. Frøene drysser ud af kapslen og spredes."
